Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CH_18_R_18CH024_BL_ADL_M__SRR17643018__R1__d26a809a141ff3606bbb012b518a4454_val_1	CH_18_R_18CH024_BL_ADL_M__SRR17643018__R1__d26a809a141ff3606bbb012b518a4454_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27881378.0	0.0	20-150	33.0	27.171180590452188	124.15554736928713	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CH_18_R_18CH024_BL_ADL_M__SRR17643018__R2__17ad972594331183f0fdcc22c7b1e5ed_val_2	CH_18_R_18CH024_BL_ADL_M__SRR17643018__R2__17ad972594331183f0fdcc22c7b1e5ed_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27881378.0	0.0	20-148	34.0	19.396308018386023	120.15294261998098	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CH_18_R_18CH081_BL_ADL_M__SRR17643017__R1__4a1dc631af59269ba7ecf92fe45ea120_val_1	CH_18_R_18CH081_BL_ADL_M__SRR17643017__R1__4a1dc631af59269ba7ecf92fe45ea120_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24323541.0	0.0	20-150	32.0	27.119791191323156	124.07915767691884	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
CH_18_R_18CH081_BL_ADL_M__SRR17643017__R2__26b4b61ae8dbc573a322e0a52defbcc0_val_2	CH_18_R_18CH081_BL_ADL_M__SRR17643017__R2__26b4b61ae8dbc573a322e0a52defbcc0_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24323541.0	0.0	20-148	33.0	23.238256332294338	121.22351128891965	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
CH_19_R_19CH005_BL_ADL_M__SRR17643013__R1__089f55eeb1d28767c339c9405a50484e_val_1	CH_19_R_19CH005_BL_ADL_M__SRR17643013__R1__089f55eeb1d28767c339c9405a50484e_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29623418.0	0.0	20-150	32.0	27.880986859717723	125.82237336690858	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CH_19_R_19CH005_BL_ADL_M__SRR17643013__R2__1cd29a2cf680022859101c3a937cbe74_val_2	CH_19_R_19CH005_BL_ADL_M__SRR17643013__R2__1cd29a2cf680022859101c3a937cbe74_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29623418.0	0.0	20-148	33.0	20.11450907183601	122.13741712722009	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CH_19_R_19CH008_BL_ADL_F__SRR17643012__R1__0337ff931531a685c552893ce7dd505e_val_1	CH_19_R_19CH008_BL_ADL_F__SRR17643012__R1__0337ff931531a685c552893ce7dd505e_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23905695.0	0.0	20-150	32.0	27.489826160578364	127.1471137316861	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CH_19_R_19CH008_BL_ADL_F__SRR17643012__R2__ef7d648a5264afbdd048e1610e0da13e_val_2	CH_19_R_19CH008_BL_ADL_F__SRR17643012__R2__ef7d648a5264afbdd048e1610e0da13e_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23905695.0	0.0	20-148	33.0	23.631763391358813	124.05865380613281	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
CH_19_R_19CH091_BL_ADL_M__SRR17643068__R1__ba4871885bba09ec9a877673464579c2_val_1	CH_19_R_19CH091_BL_ADL_M__SRR17643068__R1__ba4871885bba09ec9a877673464579c2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26171543.0	0.0	20-150	32.0	26.242698360521132	125.47438681777379	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
CH_19_R_19CH091_BL_ADL_M__SRR17643068__R2__0017c092e9c21fddc0ec98b846fb39dc_val_2	CH_19_R_19CH091_BL_ADL_M__SRR17643068__R2__0017c092e9c21fddc0ec98b846fb39dc_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26171543.0	0.0	20-148	33.0	21.971557105671987	122.17097100465189	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CH_20_R_20CH003_BL_ADL_M__SRR17643263__R1__8263d5d14b3f18e5c67a31f86d888009_val_1	CH_20_R_20CH003_BL_ADL_M__SRR17643263__R1__8263d5d14b3f18e5c67a31f86d888009_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27258500.0	0.0	20-150	32.0	26.799193292752697	125.93939248307868	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CH_20_R_20CH003_BL_ADL_M__SRR17643263__R2__038856189b583c2ce73c7a6a4566bd71_val_2	CH_20_R_20CH003_BL_ADL_M__SRR17643263__R2__038856189b583c2ce73c7a6a4566bd71_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27258500.0	0.0	20-148	32.0	22.724943679064992	123.03169304987435	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CH_20_R_20CH005_BL_ADL_M__SRR17643261__R1__d2a2e1de2d795b161b9cc2903f906a6f_val_1	CH_20_R_20CH005_BL_ADL_M__SRR17643261__R1__d2a2e1de2d795b161b9cc2903f906a6f_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27075808.0	0.0	20-150	32.0	25.526697565175517	125.87242382572664	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CH_20_R_20CH005_BL_ADL_M__SRR17643261__R2__4060bdb9a6ce08079a77a8d7ea038215_val_2	CH_20_R_20CH005_BL_ADL_M__SRR17643261__R2__4060bdb9a6ce08079a77a8d7ea038215_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27075808.0	0.0	20-148	33.0	21.046985523265374	122.61552290517055	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CH_20_R_20CH006_BL_ADL_F__SRR17643260__R1__2f326fc8ddda2bf08fd65dd1c1c5f780_val_1	CH_20_R_20CH006_BL_ADL_F__SRR17643260__R1__2f326fc8ddda2bf08fd65dd1c1c5f780_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28463580.0	0.0	20-150	32.0	26.078098267257978	127.10890668004517	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CH_20_R_20CH006_BL_ADL_F__SRR17643260__R2__dd6a0094d6d273df77c87e3fd5b66c67_val_2	CH_20_R_20CH006_BL_ADL_F__SRR17643260__R2__dd6a0094d6d273df77c87e3fd5b66c67_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28463580.0	0.0	20-148	32.0	21.974008129389734	124.13540390913582	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
CN_14_G_1086_BL_ADL_M__SRR17643275__R1__1969570b6fc708c33cad733317ff37d0_val_1	CN_14_G_1086_BL_ADL_M__SRR17643275__R1__1969570b6fc708c33cad733317ff37d0_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24241501.0	0.0	20-150	34.0	29.384483311944937	117.7282629074825	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
CN_14_G_1086_BL_ADL_M__SRR17643275__R2__38285d94f674880da3615b01cbe20504_val_2	CN_14_G_1086_BL_ADL_M__SRR17643275__R2__38285d94f674880da3615b01cbe20504_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24241501.0	0.0	20-148	34.0	23.401788771073743	116.31748326970347	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CN_14_G_1089_BL_ADL_M__SRR17643192__R1__66e0a2b53593b2676a0ff327f947e920_val_1	CN_14_G_1089_BL_ADL_M__SRR17643192__R1__66e0a2b53593b2676a0ff327f947e920_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2225683.0	0.0	20-150	33.0	52.219170598328205	121.052755940536	pass	pass	warn	pass	fail	pass	pass	warn	warn	warn	pass
CN_14_G_1089_BL_ADL_M__SRR17643192__R2__5f486f14c262d296e8d87c43a27f0a37_val_2	CN_14_G_1089_BL_ADL_M__SRR17643192__R2__5f486f14c262d296e8d87c43a27f0a37_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2225683.0	0.0	20-148	33.0	45.59878210146582	118.9776064246346	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CN_14_G_1089_BL_ADL_M__SRR17643274__R1__898d298f3bc6bc2850d9d6b58412ab6c_val_1	CN_14_G_1089_BL_ADL_M__SRR17643274__R1__898d298f3bc6bc2850d9d6b58412ab6c_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16438696.0	0.0	20-150	33.0	29.189847975324586	120.87799281646184	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CN_14_G_1089_BL_ADL_M__SRR17643274__R2__b31e4f8af3774cfad4158e0172990015_val_2	CN_14_G_1089_BL_ADL_M__SRR17643274__R2__b31e4f8af3774cfad4158e0172990015_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16438696.0	0.0	20-148	33.0	24.78977459146922	119.06652218643133	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CN_14_G_1093_BL_ADL_M__SRR17643022__R1__45a284e228130f86ed96a1cb4cc54d18_val_1	CN_14_G_1093_BL_ADL_M__SRR17643022__R1__45a284e228130f86ed96a1cb4cc54d18_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30243765.0	0.0	20-150	34.0	27.899693503892014	118.08561146404887	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CN_14_G_1093_BL_ADL_M__SRR17643022__R2__c1e67404b4de4037c05ee2c9bb70933f_val_2	CN_14_G_1093_BL_ADL_M__SRR17643022__R2__c1e67404b4de4037c05ee2c9bb70933f_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30243765.0	0.0	20-148	34.0	22.209992742512863	116.79424701256606	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CN_14_G_1094_BL_ADL_F__SRR17643069__R1__3fbf3afa698261550ee064fdeee00583_val_1	CN_14_G_1094_BL_ADL_F__SRR17643069__R1__3fbf3afa698261550ee064fdeee00583_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26243754.0	0.0	20-150	34.0	28.188024162164982	121.0027173703884	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CN_14_G_1094_BL_ADL_F__SRR17643069__R2__afcbf4ada79a47ce4c2c9123c7607f83_val_2	CN_14_G_1094_BL_ADL_F__SRR17643069__R2__afcbf4ada79a47ce4c2c9123c7607f83_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26243754.0	0.0	20-148	34.0	22.31080108645535	119.34826980164499	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CN_14_G_1097_BL_ADL_F__SRR17643047__R1__e64bc39d9b28ccb985fb23afe2a8bb42_val_1	CN_14_G_1097_BL_ADL_F__SRR17643047__R1__e64bc39d9b28ccb985fb23afe2a8bb42_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3139114.0	0.0	20-150	33.0	47.83961802471354	121.27902044971925	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CN_14_G_1097_BL_ADL_F__SRR17643047__R2__9dbc08626ebd460fbdd16d1430aa512f_val_2	CN_14_G_1097_BL_ADL_F__SRR17643047__R2__9dbc08626ebd460fbdd16d1430aa512f_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3139114.0	0.0	20-148	33.0	40.47719258449531	118.92098471097259	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CN_14_G_1097_BL_ADL_F__SRR17643058__R1__ff85361ffa15b071c572410bf31f54af_val_1	CN_14_G_1097_BL_ADL_F__SRR17643058__R1__ff85361ffa15b071c572410bf31f54af_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21906464.0	0.0	20-150	33.0	26.97960422077551	120.98199357961194	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CN_14_G_1097_BL_ADL_F__SRR17643058__R2__ab6ddc058da97fc996731d8318539913_val_2	CN_14_G_1097_BL_ADL_F__SRR17643058__R2__ab6ddc058da97fc996731d8318539913_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21906464.0	0.0	20-148	33.0	22.893667683142947	119.04239670993913	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CN_14_G_1098_BL_ADL_F__SRR17643121__R1__776922b8fc01c761304085379ed7ec90_val_1	CN_14_G_1098_BL_ADL_F__SRR17643121__R1__776922b8fc01c761304085379ed7ec90_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18628794.0	0.0	20-150	33.0	32.192682138288845	121.98551527275464	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CN_14_G_1098_BL_ADL_F__SRR17643121__R2__1993133c7cd106a6db91febb4cfe2c45_val_2	CN_14_G_1098_BL_ADL_F__SRR17643121__R2__1993133c7cd106a6db91febb4cfe2c45_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18628794.0	0.0	20-148	34.0	24.355005023200626	118.40187013716508	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CN_14_G_1099_BL_ADL_M__SRR17643110__R1__64d64834c6b1039749c9af3e019d0bcd_val_1	CN_14_G_1099_BL_ADL_M__SRR17643110__R1__64d64834c6b1039749c9af3e019d0bcd_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25636709.0	0.0	20-150	34.0	27.83826676161234	119.21477897182513	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CN_14_G_1099_BL_ADL_M__SRR17643110__R2__59a8011fd0577f988a5f8823b0fca85f_val_2	CN_14_G_1099_BL_ADL_M__SRR17643110__R2__59a8011fd0577f988a5f8823b0fca85f_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25636709.0	0.0	20-148	34.0	22.409410908827585	117.60269494809182	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CN_14_G_1100_BL_ADL_F__SRR17643099__R1__38bf1e943751e7a4bbf0b2ef3b11e10d_val_1	CN_14_G_1100_BL_ADL_F__SRR17643099__R1__38bf1e943751e7a4bbf0b2ef3b11e10d_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21904718.0	0.0	20-150	34.0	31.629870152879075	119.82290769504543	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CN_14_G_1100_BL_ADL_F__SRR17643099__R2__0519bdfe87c650333de56e802a6506b8_val_2	CN_14_G_1100_BL_ADL_F__SRR17643099__R2__0519bdfe87c650333de56e802a6506b8_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21904718.0	0.0	20-148	34.0	23.79507336116557	118.3590268543973	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CN_14_G_1102_BL_ADL_M__SRR17643262__R1__eb961bbe3d232e5a38e72af2cd42e6e4_val_1	CN_14_G_1102_BL_ADL_M__SRR17643262__R1__eb961bbe3d232e5a38e72af2cd42e6e4_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3202200.0	0.0	20-150	33.0	47.47755944663098	120.9057616638561	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CN_14_G_1102_BL_ADL_M__SRR17643262__R2__7f4071e5099bf10d098ac1c3891111a9_val_2	CN_14_G_1102_BL_ADL_M__SRR17643262__R2__7f4071e5099bf10d098ac1c3891111a9_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3202200.0	0.0	20-148	33.0	39.7638536794731	118.77096527387421	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CN_14_G_1102_BL_ADL_M__SRR17643273__R1__7b1291d46dde16d802063b4777723797_val_1	CN_14_G_1102_BL_ADL_M__SRR17643273__R1__7b1291d46dde16d802063b4777723797_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18313206.0	0.0	20-150	33.0	27.935264951868295	120.58628969717263	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CN_14_G_1102_BL_ADL_M__SRR17643273__R2__4ebccd00a4092d700de1b00a9fcef1c6_val_2	CN_14_G_1102_BL_ADL_M__SRR17643273__R2__4ebccd00a4092d700de1b00a9fcef1c6_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18313206.0	0.0	20-148	33.0	23.85520662497155	118.80917748645432	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CN_14_G_1103_BL_ADL_M__SRR17643251__R1__b2ecf7e767354713a32a717416f20af3_val_1	CN_14_G_1103_BL_ADL_M__SRR17643251__R1__b2ecf7e767354713a32a717416f20af3_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24056458.0	0.0	20-150	34.0	28.48380798233142	117.51693832067879	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CN_14_G_1103_BL_ADL_M__SRR17643251__R2__0de2f3a79d7e3392c28e9131b950d5f7_val_2	CN_14_G_1103_BL_ADL_M__SRR17643251__R2__0de2f3a79d7e3392c28e9131b950d5f7_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24056458.0	0.0	20-148	34.0	22.875876764525387	116.07821924574266	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CN_14_G_1104_BL_ADL_M__SRR17643147__R1__1d9d6e2c046452c89afc5d064255f7dd_val_1	CN_14_G_1104_BL_ADL_M__SRR17643147__R1__1d9d6e2c046452c89afc5d064255f7dd_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23645797.0	0.0	20-150	34.0	28.44307243744296	122.07209869051992	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CN_14_G_1104_BL_ADL_M__SRR17643147__R2__44898b3089d4481ceffaa81db81dd2e4_val_2	CN_14_G_1104_BL_ADL_M__SRR17643147__R2__44898b3089d4481ceffaa81db81dd2e4_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23645797.0	0.0	20-148	33.0	23.258120289588398	120.37024207727065	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CN_14_G_1105_BL_ADL_F__SRR17643136__R1__1e5684ca56aaed7cfc8723140cf45674_val_1	CN_14_G_1105_BL_ADL_F__SRR17643136__R1__1e5684ca56aaed7cfc8723140cf45674_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23396558.0	0.0	20-150	32.0	30.87764132413212	126.01905310174257	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
CN_14_G_1105_BL_ADL_F__SRR17643136__R2__793690e8c71c625db6755dab7925bb52_val_2	CN_14_G_1105_BL_ADL_F__SRR17643136__R2__793690e8c71c625db6755dab7925bb52_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23396558.0	0.0	20-148	33.0	23.244842745641318	122.61106894441481	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
CN_16_RG_1652_BL_ADL_F__SRR17643021__R1__0cfa3cdc92fc616780289ea33b672311_val_1	CN_16_RG_1652_BL_ADL_F__SRR17643021__R1__0cfa3cdc92fc616780289ea33b672311_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26696260.0	0.0	20-150	34.0	29.12181630503536	118.99438280867807	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CN_16_RG_1652_BL_ADL_F__SRR17643021__R2__0748bde9837bf98795dd7cfd84bfb0e9_val_2	CN_16_RG_1652_BL_ADL_F__SRR17643021__R2__0748bde9837bf98795dd7cfd84bfb0e9_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26696260.0	0.0	20-148	34.0	23.3582159630784	117.58751525494583	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CN_16_RG_2014_BL_ADL_F__SRR17643054__R1__3701085736bcf83fd406a2eca1b603d7_val_1	CN_16_RG_2014_BL_ADL_F__SRR17643054__R1__3701085736bcf83fd406a2eca1b603d7_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20600590.0	0.0	20-150	33.0	26.862067126072812	121.92226591568495	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CN_16_RG_2014_BL_ADL_F__SRR17643054__R2__2bf134f1b37a67746eafd417745685cf_val_2	CN_16_RG_2014_BL_ADL_F__SRR17643054__R2__2bf134f1b37a67746eafd417745685cf_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20600590.0	0.0	20-148	33.0	23.59170761454119	120.444931188864	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CN_16_RG_2014_BL_ADL_F__SRR17643055__R1__b9440af1d0ee3f2d053ba6cb21b1cbcb_val_1	CN_16_RG_2014_BL_ADL_F__SRR17643055__R1__b9440af1d0ee3f2d053ba6cb21b1cbcb_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3283392.0	0.0	20-150	33.0	47.313190564826776	121.55217500682221	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
CN_16_RG_2014_BL_ADL_F__SRR17643055__R2__e68fd0fc649bfae8baac753805e88e66_val_2	CN_16_RG_2014_BL_ADL_F__SRR17643055__R2__e68fd0fc649bfae8baac753805e88e66_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3283392.0	0.0	20-148	34.0	40.49582017435695	120.27883786035905	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CN_16_RG_2017_BL_ADL_F__SRR17643053__R1__90a2c074ce9aded2eabc8f444c90dab9_val_1	CN_16_RG_2017_BL_ADL_F__SRR17643053__R1__90a2c074ce9aded2eabc8f444c90dab9_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28846187.0	0.0	20-150	34.0	27.606311883289976	120.58062928733007	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CN_16_RG_2017_BL_ADL_F__SRR17643053__R2__9fe532ea4480f2fa897de4f3d23be423_val_2	CN_16_RG_2017_BL_ADL_F__SRR17643053__R2__9fe532ea4480f2fa897de4f3d23be423_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28846187.0	0.0	20-148	34.0	21.21350056581344	118.8126478899967	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CN_16_RG_2019_BL_ADL_F__SRR17643051__R1__5e6b89aa2b0a7986f68ff908f3ce4853_val_1	CN_16_RG_2019_BL_ADL_F__SRR17643051__R1__5e6b89aa2b0a7986f68ff908f3ce4853_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2875506.0	0.0	20-150	33.0	50.21625859704585	122.73646933791827	pass	pass	warn	pass	fail	pass	pass	warn	warn	warn	pass
CN_16_RG_2019_BL_ADL_F__SRR17643051__R2__3b8a4134500b808e5da593d807bcd5a1_val_2	CN_16_RG_2019_BL_ADL_F__SRR17643051__R2__3b8a4134500b808e5da593d807bcd5a1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2875506.0	0.0	20-148	33.0	43.07613538620755	120.78696305971889	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CN_16_RG_2019_BL_ADL_F__SRR17643052__R1__690ea0720f9157d35b7351495080d4b4_val_1	CN_16_RG_2019_BL_ADL_F__SRR17643052__R1__690ea0720f9157d35b7351495080d4b4_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19833570.0	0.0	20-150	33.0	27.471259504182612	122.76436627394867	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CN_16_RG_2019_BL_ADL_F__SRR17643052__R2__643a37b91ec3f54a4cc50e19ec91ad03_val_2	CN_16_RG_2019_BL_ADL_F__SRR17643052__R2__643a37b91ec3f54a4cc50e19ec91ad03_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19833570.0	0.0	20-148	33.0	24.168271036903263	121.04722220961733	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CN_16_RG_2020_BL_ADL_M__SRR17643049__R1__c45d188f4d3f43b031a1b13fd63f89b5_val_1	CN_16_RG_2020_BL_ADL_M__SRR17643049__R1__c45d188f4d3f43b031a1b13fd63f89b5_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3408940.0	0.0	20-150	33.0	47.264286894506846	118.97980809283824	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CN_16_RG_2020_BL_ADL_M__SRR17643049__R2__670dac95f5294eec9621e4f345cdf22d_val_2	CN_16_RG_2020_BL_ADL_M__SRR17643049__R2__670dac95f5294eec9621e4f345cdf22d_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3408940.0	0.0	20-148	34.0	39.301565184722186	116.97643549021103	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CN_16_RG_2020_BL_ADL_M__SRR17643050__R1__4136cc7c1b11bd36bc5ac494834150d7_val_1	CN_16_RG_2020_BL_ADL_M__SRR17643050__R1__4136cc7c1b11bd36bc5ac494834150d7_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18288699.0	0.0	20-150	34.0	27.095602005569148	118.77877218056899	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CN_16_RG_2020_BL_ADL_M__SRR17643050__R2__3a2189919cc06171bd15a88db98c7188_val_2	CN_16_RG_2020_BL_ADL_M__SRR17643050__R2__3a2189919cc06171bd15a88db98c7188_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18288699.0	0.0	20-148	34.0	23.59100477918581	117.19988655289258	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CN_16_RG_2021_BL_ADL_M__SRR17643046__R1__745d2d795c54bbefa255e4abde19ee9b_val_1	CN_16_RG_2021_BL_ADL_M__SRR17643046__R1__745d2d795c54bbefa255e4abde19ee9b_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24329624.0	0.0	20-150	33.0	25.31682413404475	121.3360157148339	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CN_16_RG_2021_BL_ADL_M__SRR17643046__R2__4a50f0fbf0b02b5415acee9141195828_val_2	CN_16_RG_2021_BL_ADL_M__SRR17643046__R2__4a50f0fbf0b02b5415acee9141195828_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24329624.0	0.0	20-148	33.0	22.07336330624136	119.66276166043504	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CN_16_RG_2021_BL_ADL_M__SRR17643048__R1__5c32a50988902bc4a8b6ef9211b30226_val_1	CN_16_RG_2021_BL_ADL_M__SRR17643048__R1__5c32a50988902bc4a8b6ef9211b30226_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3716115.0	0.0	20-150	33.0	45.473706295065206	120.9882756588534	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
CN_16_RG_2021_BL_ADL_M__SRR17643048__R2__e0b13fac308ceb73f5089114384be7c0_val_2	CN_16_RG_2021_BL_ADL_M__SRR17643048__R2__e0b13fac308ceb73f5089114384be7c0_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3716115.0	0.0	20-148	33.0	38.65844900275227	119.48730327236913	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
